store id,item id,name of item,quantity,date inventory added
2,I-066,BLUEBERRY MUFFINS,43,07/18/2019
2,I-072,panbazo Sandwich,30,11/2/2020
2,I-086,double fish fillet burger,26,3/8/2020
2,I-093,Sugar,10,08/25/2020
2,I-094,Milk,10,08/25/2020
2,I-095,Flour,10,08/25/2020
2,I-097,Banana,24,08/25/2020
4,I-004,barros Luco Sandwich,35,05/20/2020
4,I-005,texas brisket sandwich,35,07/18/2020
4,I-008,lemonade,46,09/04/2019
4,I-010,coke,37,06/09/2020
4,I-015,red valvet cake,47,09/02/2020
4,I-015,red valvet cake,47,09/02/2020
4,I-021,Gatsby  Sandwich,20,03/30/2020
4,I-025,Bocadillo De atun  Sandwich,18,07/19/2020
4,I-030,Yakisoba pan,18,11/27/2019
4,I-033,ice coffee,15,9/7/2020
4,I-036,rye bread,37,09/28/2019
4,I-049,Runza Sandwich,49,06/10/2020
4,I-078,ice latte,41,08/02/2019
4,I-081,pepsi,23,08/26/2019
4,I-081,pepsi,23,08/26/2019
4,I-093,Sugar,10,08/25/2020
4,I-094,Milk,10,08/25/2020
4,I-095,Flour,10,08/25/2020
4,I-098,BlueBerry,8,08/25/2020
6,I-006,broodje kroket  Sandwich,41,08/19/2020
6,I-017,charcoal bread,33,07/31/2020
6,I-019,fries burger,31,06/13/2020
6,I-019,fries burger,31,06/13/2020
6,I-029,banana pancake,29,12/11/2019
6,I-036,rye bread,37,09/28/2019
6,I-037,dinner roll,17,06/21/2020
6,I-043,fish burger,13,07/19/2019
6,I-046,Cappuccino,26,12/22/2019
6,I-052,fat  Sandwich,20,7/3/2020
6,I-053,LEMON CRUMB MUFFINS,45,05/06/2020
6,I-059,spicy chicken burger,17,06/06/2020
6,I-078,ice latte,41,08/02/2019
6,I-081,pepsi,23,08/26/2019
6,I-092,chocolate cake,48,07/20/2020
6,I-093,Sugar,10,08/25/2020
6,I-094,Milk,10,08/25/2020
6,I-095,Flour,10,08/25/2020
6,I-096,Strawberry,3,08/25/2020
10,I-001,white bread,34,04/25/2020
10,I-010,coke,39,06/09/2020
10,I-023,vanilla cake,42,10/08/2020
10,I-041,veggie burger,46,01/27/2020
10,I-049,Runza Sandwich,49,06/10/2020
10,I-059,spicy chicken burger,17,06/06/2020
10,I-062,rainbow cake,14,11/18/2020
10,I-080,blueberry pancake,19,3/6/2020
10,I-086,double fish fillet burger,26,3/8/2020
10,I-093,Sugar,10,08/25/2020
10,I-094,Milk,10,08/25/2020
10,I-095,Flour,10,08/25/2020
10,I-097,Banana,24,08/25/2020
